Type,Purpose,Furnishing,Price,Beds,Baths,Area_sqft,Address
Apartment,Sale,Unfurnished,"660,000",1 bed,1 bath,729 sqft,"Suburbia Tower 2, Suburbia, Downtown Jebel Ali, Jebel Ali, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,600,000",2 beds,3 baths,"1,396 sqft","Murjan 5, Murjan, Jumeirah Beach Residence (JBR), Dubai, UAE"
Apartment,Sale,Unfurnished,"455,000",Studio,1 bath,569 sqft,"Skycourts Tower B, Skycourts Towers, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"820,000",1 bed,2 baths,835 sqft,"Orion Building, Arjan, Dubai, UAE"
Apartment,Sale,Unfurnished,"680,000",Studio,1 bath,314 sqft,"Azizi Riviera 1, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE"
Apartment,Sale,Unfurnished,"720,000",1 bed,2 baths,746 sqft,"AG Square, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"650,000",1 bed,2 baths,866 sqft,"Mazaya 25, Queue Point, Liwan, Dubai, UAE"
Apartment,Sale,Unfurnished,"720,000",1 bed,2 baths,957 sqft,"Building 101, Mediterranean, Discovery Gardens, Dubai, UAE"
Villa,Sale,Unfurnished,"2,096,000",3 beds,5 baths,"2,072 sqft","Amazonia, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Apartment,Sale,Unfurnished,"3,200,000",4 beds,6 baths,"2,366 sqft","Goldcrest Views 1, JLT Cluster V, Jumeirah Lake Towers (JLT), Dubai, UAE"
Villa,Sale,Unfurnished,"1,884,000",3 beds,5 baths,"2,402 sqft","Odora, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Townhouse,Sale,Unfurnished,"4,200,000",3 beds,4 baths,"2,836 sqft","Murooj Al Furjan, Al Furjan, Dubai, UAE"
Villa,Sale,Unfurnished,"3,000,000",4 beds,6 baths,"2,693 sqft","Royal Estate Community, Dubai Investment Park (DIP), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,799,999",2 beds,3 baths,"1,413 sqft","Grenland Residence, District 11, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Furnished,"850,000",Studio,1 bath,475 sqft,"Al Multaqa Avenue, Mirdif Hills, Mirdif, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,175,000",2 beds,3 baths,"1,395 sqft","Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis (DSO), Dubai, UAE"
Apartment,Sale,Unfurnished,"400,000",Studio,1 bath,502 sqft,"B13, Dunes Village, Dubai Investment Park 2, Dubai Investment Park (DIP), Dubai, UAE"
Apartment,Sale,Unfurnished,"490,000",Studio,1 bath,375 sqft,"Arabian Gates, Dubai Silicon Oasis (DSO), Dubai, UAE"
Apartment,Sale,Unfurnished,"890,000",1 bed,2 baths,811 sqft,"Siraj Tower, Arjan, Dubai, UAE"
Villa,Sale,Unfurnished,"2,850,000",4 beds,6 baths,"2,714 sqft","Royal Estate Community, Dubai Investment Park (DIP), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,059,840",1 bed,2 baths,873 sqft,"Milos by Karma, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,170,000",1 bed,2 baths,773 sqft,"Chelsea Residences by DAMAC, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,114,000",1 bed,2 baths,812 sqft,"Safa Gate, Al Wasl, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,175,000",2 beds,3 baths,"1,395 sqft","Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis (DSO), Dubai, UAE"
Villa,Sale,Unfurnished,"1,994,000",4 beds,4 baths,"2,352 sqft","Violet 4, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Villa,Sale,Unfurnished,"5,998,000",3 beds,5 baths,"3,486 sqft","Pelham, The Park Villas, DAMAC Hills, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,324,000",1 bed,2 baths,816 sqft,"Loreto 1B, Loreto B, Loreto, DAMAC Hills, Dubai, UAE"
Villa,Sale,Unfurnished,"1,956,000",4 beds,4 baths,"2,352 sqft","Violet 3, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE"
Villa,Sale,Unfurnished,"7,205,000",5 beds,8 baths,"4,848 sqft","Silver Springs, DAMAC Hills, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,100,000",1 bed,2 baths,992 sqft,"Anwa, Dubai Maritime City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,345,000",1 bed,2 baths,698 sqft,"Lagoon Views 13, Lagoon Views, DAMAC Lagoons, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,469,000",1 bed,2 baths,762 sqft,"Lagoon Views 13, Lagoon Views, DAMAC Lagoons, Dubai, UAE"
Apartment,Sale,Furnished,"470,000",Studio,1 bath,376 sqft,"AG 9ine, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,180,000",1 bed,1 bath,793 sqft,"10 Oxford, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"2,300,000",1 bed,1 bath,915 sqft,"The Residence 1, The Residences, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,750,000",1 bed,2 baths,852 sqft,"Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai, UAE"
Villa,Sale,Furnished,"12,800,000",5 beds,7 baths,"5,105 sqft","Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai, UAE"
Apartment,Sale,Unfurnished,"3,450,000",3 beds,4 baths,"1,564 sqft","The Crest Tower D, The Crest, Sobha Hartland, Dubai, UAE"
Apartment,Sale,Furnished,"4,400,000",3 beds,4 baths,"1,657 sqft","Residences 13, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Furnished,"6,100,000",3 beds,4 baths,"1,923 sqft","Residences 6, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE"
Villa,Sale,Unfurnished,"10,250,000",4 beds,5 baths,"3,285 sqft","District One, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,820,000",1 bed,2 baths,891 sqft,"Creek Vistas Grande, Sobha Hartland, Dubai, UAE"
Apartment,Sale,Unfurnished,"3,250,000",2 beds,2 baths,"1,224 sqft","Urban Oasis by Missoni, Business Bay, Dubai, UAE"
Villa,Sale,Unfurnished,"4,300,000",4 beds,5 baths,"3,300 sqft","The Pulse Beachfront 3, The Pulse, Residential District, Dubai South, Dubai, UAE"
Apartment,Sale,Furnished,"14,000,000",3 beds,4 baths,"2,180 sqft","The Address Fountain Views 3, Address Dubai Mall, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Furnished,"14,000,000",3 beds,4 baths,"2,180 sqft","The Address Fountain Views 3, Address Dubai Mall, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,200,000",2 beds,2 baths,879 sqft,"Hayat Boulevard 2A, Hayat Boulevard, Town Square, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,650,000",1 bed,2 baths,716 sqft,"Safa Two by De Grisogono, Aykon City, Business Bay, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,430,000",2 beds,2 baths,958 sqft,"Lime Gardens, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Furnished,"2,650,000",2 beds,3 baths,804 sqft,"Mama Shelter (Luxury Family Residences II), Business Bay, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,325,000",3 beds,3 baths,"1,455 sqft","Merano Tower, Business Bay, Dubai, UAE"
Villa,Sale,Unfurnished,"60,000,000",7 beds,7 baths,"18,833 sqft","Sector W, Emirates Hills, Dubai, UAE"
Villa,Sale,Furnished,"20,990,000",3 beds,3 baths,"4,556 sqft","Canal Cove, Palm Jumeirah, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,019,777",1 bed,2 baths,971 sqft,"Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Unfurnished,"3,300,000",2 beds,2 baths,"1,231 sqft","Jadeel Building 2, Jadeel, Madinat Jumeirah Living, Umm Suqeim, Dubai, UAE"
Apartment,Sale,Furnished,"3,100,000",2 beds,3 baths,"1,273 sqft","1 Residences Building 2, 1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"12,000,000",3 beds,3 baths,"2,238 sqft","Serenia Living Tower 2, Serenia Living, Palm Jumeirah, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,300,000",2 beds,2 baths,852 sqft,"Hartland Waves, Sobha Hartland, Dubai, UAE"
Apartment,Sale,Furnished,"1,500,000",1 bed,1 bath,746 sqft,"MAG City, District 7, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,300,000",1 bed,1 bath,808 sqft,"Zaafaran 1, Zaafaran, Old Town, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"2,900,000",1 bed,2 baths,"1,408 sqft","Zanzebeel 1, Zanzebeel, Old Town, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Unfurnished,"7,000,000",3 beds,4 baths,"2,053 sqft","Burj Daman, DIFC, Dubai, UAE"
Penthouse,Sale,Furnished,"9,800,000",4 beds,5 baths,"2,300 sqft","Grande, Opera District, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Furnished,"2,090,000",2 beds,3 baths,"1,323 sqft","Binghatti Canal Building, Business Bay, Dubai, UAE"
Apartment,Sale,Furnished,"2,150,000",1 bed,2 baths,827 sqft,"Kensington Waters Tower A, Kensington Waters, Sobha Hartland, Dubai, UAE"
Villa,Sale,Unfurnished,"5,599,000",5 beds,5 baths,"3,350 sqft","Brookfield, DAMAC Hills, Dubai, UAE"
Townhouse,Sale,Furnished,"11,350,000",4 beds,6 baths,"5,409 sqft","Keturah Reserve, District 7, Mohammed Bin Rashid City, Dubai, UAE"
Apartment,Sale,Furnished,"1,990,000",1 bed,2 baths,874 sqft,"DAMAC Heights, Dubai Marina, Dubai, UAE"
Villa,Sale,Unfurnished,"6,649,000",5 beds,6 baths,"4,125 sqft","Silver Springs, DAMAC Hills, Dubai, UAE"
Villa,Sale,Unfurnished,"4,500,000",4 beds,4 baths,"3,247 sqft","Leon, Athlon by Aldar, Dubai, UAE"
Townhouse,Sale,Unfurnished,"3,650,000",3 beds,4 baths,"2,043 sqft","Trinity, The Park Villas, DAMAC Hills, Dubai, UAE"
Apartment,Sale,Furnished,"11,200,000",2 beds,3 baths,"1,762 sqft","Bluewaters Residences 2, Bluewaters Residences, Bluewaters Island, Dubai, UAE"
Apartment,Sale,Unfurnished,"3,150,000",2 beds,3 baths,"1,114 sqft","Lamaa, Madinat Jumeirah Living, Umm Suqeim, Dubai, UAE"
Apartment,Sale,Furnished,"4,300,000",2 beds,3 baths,"1,282 sqft","Sunrise Bay Tower 1, Sunrise Bay, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"19,500,000",3 beds,3 baths,"5,062 sqft","Bugatti Residences by Binghatti, Business Bay, Dubai, UAE"
Apartment,Sale,Unfurnished,"33,500,000",4 beds,4 baths,"4,567 sqft","Six Senses Hotel, Six Senses Residences, Palm Jumeirah, Dubai, UAE"
Apartment,Sale,Furnished,"9,260,000",3 beds,3 baths,"2,132 sqft","DAMAC Bay Tower B, DAMAC Bay by Cavalli, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"10,500,000",3 beds,3 baths,"1,969 sqft","Address The Bay, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"11,379,000",4 beds,4 baths,"2,421 sqft","Beachgate by Address, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Villa,Sale,Unfurnished,"30,900,000",6 beds,9 baths,"8,102 sqft","The Palm Crown, Palm Jumeirah, Dubai, UAE"
Penthouse,Sale,Unfurnished,"28,500,000",3 beds,4 baths,"5,981 sqft","Serenia Living Tower 3, Serenia Living, Palm Jumeirah, Dubai, UAE"
Apartment,Sale,Unfurnished,"29,000,000",3 beds,3 baths,"3,437 sqft","Keturah Resort by MAG, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai, UAE"
Apartment,Sale,Unfurnished,"9,200,000",3 beds,3 baths,"1,844 sqft","St. Regis The Residences Tower 1, St. Regis The Residences, Downtown Dubai, Dubai, UAE"
Apartment,Sale,Furnished,"5,000,000",2 beds,2 baths,"1,386 sqft","Le Ciel Tower 1, Le Ciel, Port de La Mer, La Mer, Jumeirah, Dubai, UAE"
Apartment,Sale,Unfurnished,"8,500,000",2 beds,2 baths,"1,454 sqft","DAMAC Bay Tower C, DAMAC Bay by Cavalli, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Furnished,"12,000,000",2 beds,3 baths,"2,015 sqft","One Za'abeel The Residences, One Za'abeel, Za'abeel 1, Za'abeel, Dubai, UAE"
Apartment,Sale,Furnished,"26,500,000",2 beds,3 baths,"2,373 sqft","The Royal Atlantis Resort & Residences, The Crescent, Palm Jumeirah, Dubai, UAE"
Apartment,Sale,Unfurnished,"44,000,000",3 beds,4 baths,"5,120 sqft","Six Senses Hotel, Six Senses Residences, Palm Jumeirah, Dubai, UAE"
Apartment,Sale,Furnished,"670,777",Studio,1 bath,335 sqft,"Lume Residences, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Furnished,"1,036,585",Studio,1 bath,398 sqft,"Evergr1n House, Jumeirah Garden City, Al Satwa, Dubai, UAE"
Residential Floor,Sale,Unfurnished,"15,500,000",1 bed,2 baths,712 sqft,"Dubai Islands, Dubai, UAE"
Apartment,Sale,Unfurnished,"735,000",2 beds,2 baths,"1,094 sqft","Skycourts Tower F, Skycourts Towers, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Unfurnished,"985,741",1 bed,1 bath,835 sqft,"4Direction Residence 1, Dubai Land Residence Complex, Dubai, UAE"
Apartment,Sale,Furnished,"3,158,777",2 beds,3 baths,"1,499 sqft","Marriott Residences JLT, Jumeirah Lake Towers (JLT), Dubai, UAE"
Apartment,Sale,Furnished,"4,500,000",2 beds,2 baths,"1,170 sqft","Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,550,000",2 beds,3 baths,"1,468 sqft","Sandoval Garden Block B, Sandoval Garden, JVC District 14, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,300,000",1 bed,1 bath,486 sqft,"Collective 2.0 Tower B, Collective 2.0, Dubai Hills Estate, Dubai, UAE"
Villa,Sale,Unfurnished,"7,700,000",3 beds,4 baths,"2,892 sqft","Golf Grove, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Unfurnished,"600,000",1 bed,2 baths,664 sqft,"Autumn 2 Block A, Autumn, Seasons Community, JVC District 15, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,199,999",2 beds,3 baths,"1,047 sqft","Marwa Heights, JVC District 15, Jumeirah Village Circle (JVC), Dubai, UAE"
Apartment,Sale,Unfurnished,"1,800,000",2 beds,3 baths,"1,258 sqft","The Torch, Dubai Marina, Dubai, UAE"
Apartment,Sale,Unfurnished,"1,700,000",2 beds,1 bath,741 sqft,"Collective 2.0 Tower A, Collective 2.0, Dubai Hills Estate, Dubai, UAE"
Apartment,Sale,Unfurnished,"780,000",1 bed,2 baths,647 sqft,"Moonsa Residences 2, International City Phase 2 (Warsan 4), International City, Dubai, UAE"
