Type,Purpose,Furnishing,Price,Beds,Baths,Area_sqft,Address,Price_num,Area_num,Beds_num,Baths_num
0,0,1,"660,000",1 bed,1 bath,729 sqft,"Suburbia Tower 2, Suburbia, Downtown Jebel Ali, Jebel Ali, Dubai, UAE",660000.0,729.0,1.0,1.0
0,0,1,"2,600,000",2 beds,3 baths,"1,396 sqft","Murjan 5, Murjan, Jumeirah Beach Residence (JBR), Dubai, UAE",2600000.0,1396.0,2.0,3.0
0,0,1,"455,000",Studio,1 bath,569 sqft,"Skycourts Tower B, Skycourts Towers, Dubai Land Residence Complex, Dubai, UAE",455000.0,569.0,0.0,1.0
0,0,1,"820,000",1 bed,2 baths,835 sqft,"Orion Building, Arjan, Dubai, UAE",820000.0,835.0,1.0,2.0
0,0,1,"680,000",Studio,1 bath,314 sqft,"Azizi Riviera 1, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",680000.0,314.0,0.0,1.0
0,0,1,"720,000",1 bed,2 baths,746 sqft,"AG Square, Dubai Land Residence Complex, Dubai, UAE",720000.0,746.0,1.0,2.0
0,0,1,"650,000",1 bed,2 baths,866 sqft,"Mazaya 25, Queue Point, Liwan, Dubai, UAE",650000.0,866.0,1.0,2.0
0,0,1,"720,000",1 bed,2 baths,957 sqft,"Building 101, Mediterranean, Discovery Gardens, Dubai, UAE",720000.0,957.0,1.0,2.0
6,0,1,"2,096,000",3 beds,5 baths,"2,072 sqft","Amazonia, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE",2096000.0,2072.0,3.0,5.0
0,0,1,"3,200,000",4 beds,6 baths,"2,366 sqft","Goldcrest Views 1, JLT Cluster V, Jumeirah Lake Towers (JLT), Dubai, UAE",3200000.0,2366.0,4.0,6.0
6,0,1,"1,884,000",3 beds,5 baths,"2,402 sqft","Odora, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE",1884000.0,2402.0,3.0,5.0
5,0,1,"4,200,000",3 beds,4 baths,"2,836 sqft","Murooj Al Furjan, Al Furjan, Dubai, UAE",4200000.0,2836.0,3.0,4.0
6,0,1,"3,000,000",4 beds,6 baths,"2,693 sqft","Royal Estate Community, Dubai Investment Park (DIP), Dubai, UAE",3000000.0,2693.0,4.0,6.0
0,0,1,"1,799,999",2 beds,3 baths,"1,413 sqft","Grenland Residence, District 11, Mohammed Bin Rashid City, Dubai, UAE",1799999.0,1413.0,2.0,3.0
0,0,0,"850,000",Studio,1 bath,475 sqft,"Al Multaqa Avenue, Mirdif Hills, Mirdif, Dubai, UAE",850000.0,475.0,0.0,1.0
0,0,1,"1,175,000",2 beds,3 baths,"1,395 sqft","Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis (DSO), Dubai, UAE",1175000.0,1395.0,2.0,3.0
0,0,1,"400,000",Studio,1 bath,502 sqft,"B13, Dunes Village, Dubai Investment Park 2, Dubai Investment Park (DIP), Dubai, UAE",400000.0,502.0,0.0,1.0
0,0,1,"490,000",Studio,1 bath,375 sqft,"Arabian Gates, Dubai Silicon Oasis (DSO), Dubai, UAE",490000.0,375.0,0.0,1.0
0,0,1,"890,000",1 bed,2 baths,811 sqft,"Siraj Tower, Arjan, Dubai, UAE",890000.0,811.0,1.0,2.0
6,0,1,"2,850,000",4 beds,6 baths,"2,714 sqft","Royal Estate Community, Dubai Investment Park (DIP), Dubai, UAE",2850000.0,2714.0,4.0,6.0
0,0,1,"1,059,840",1 bed,2 baths,873 sqft,"Milos by Karma, Dubai Land Residence Complex, Dubai, UAE",1059840.0,873.0,1.0,2.0
0,0,1,"2,170,000",1 bed,2 baths,773 sqft,"Chelsea Residences by DAMAC, Dubai Maritime City, Dubai, UAE",2170000.0,773.0,1.0,2.0
0,0,1,"2,114,000",1 bed,2 baths,812 sqft,"Safa Gate, Al Wasl, Dubai, UAE",2114000.0,812.0,1.0,2.0
6,0,1,"1,994,000",4 beds,4 baths,"2,352 sqft","Violet 4, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE",1994000.0,2352.0,4.0,4.0
6,0,1,"5,998,000",3 beds,5 baths,"3,486 sqft","Pelham, The Park Villas, DAMAC Hills, Dubai, UAE",5998000.0,3486.0,3.0,5.0
0,0,1,"1,324,000",1 bed,2 baths,816 sqft,"Loreto 1B, Loreto B, Loreto, DAMAC Hills, Dubai, UAE",1324000.0,816.0,1.0,2.0
6,0,1,"1,956,000",4 beds,4 baths,"2,352 sqft","Violet 3, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE",1956000.0,2352.0,4.0,4.0
6,0,1,"7,205,000",5 beds,8 baths,"4,848 sqft","Silver Springs, DAMAC Hills, Dubai, UAE",7205000.0,4848.0,5.0,8.0
0,0,1,"2,100,000",1 bed,2 baths,992 sqft,"Anwa, Dubai Maritime City, Dubai, UAE",2100000.0,992.0,1.0,2.0
0,0,1,"1,345,000",1 bed,2 baths,698 sqft,"Lagoon Views 13, Lagoon Views, DAMAC Lagoons, Dubai, UAE",1345000.0,698.0,1.0,2.0
0,0,1,"1,469,000",1 bed,2 baths,762 sqft,"Lagoon Views 13, Lagoon Views, DAMAC Lagoons, Dubai, UAE",1469000.0,762.0,1.0,2.0
0,0,0,"470,000",Studio,1 bath,376 sqft,"AG 9ine, Dubai Land Residence Complex, Dubai, UAE",470000.0,376.0,0.0,1.0
0,0,1,"1,180,000",1 bed,1 bath,793 sqft,"10 Oxford, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",1180000.0,793.0,1.0,1.0
0,0,1,"2,300,000",1 bed,1 bath,915 sqft,"The Residence 1, The Residences, Downtown Dubai, Dubai, UAE",2300000.0,915.0,1.0,1.0
0,0,1,"1,750,000",1 bed,2 baths,852 sqft,"Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai, UAE",1750000.0,852.0,1.0,2.0
6,0,0,"12,800,000",5 beds,7 baths,"5,105 sqft","Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai, UAE",12800000.0,5105.0,5.0,7.0
0,0,1,"3,450,000",3 beds,4 baths,"1,564 sqft","The Crest Tower D, The Crest, Sobha Hartland, Dubai, UAE",3450000.0,1564.0,3.0,4.0
0,0,0,"4,400,000",3 beds,4 baths,"1,657 sqft","Residences 13, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",4400000.0,1657.0,3.0,4.0
0,0,0,"6,100,000",3 beds,4 baths,"1,923 sqft","Residences 6, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",6100000.0,1923.0,3.0,4.0
6,0,1,"10,250,000",4 beds,5 baths,"3,285 sqft","District One, Mohammed Bin Rashid City, Dubai, UAE",10250000.0,3285.0,4.0,5.0
0,0,1,"1,820,000",1 bed,2 baths,891 sqft,"Creek Vistas Grande, Sobha Hartland, Dubai, UAE",1820000.0,891.0,1.0,2.0
0,0,1,"3,250,000",2 beds,2 baths,"1,224 sqft","Urban Oasis by Missoni, Business Bay, Dubai, UAE",3250000.0,1224.0,2.0,2.0
6,0,1,"4,300,000",4 beds,5 baths,"3,300 sqft","The Pulse Beachfront 3, The Pulse, Residential District, Dubai South, Dubai, UAE",4300000.0,3300.0,4.0,5.0
0,0,0,"14,000,000",3 beds,4 baths,"2,180 sqft","The Address Fountain Views 3, Address Dubai Mall, Downtown Dubai, Dubai, UAE",14000000.0,2180.0,3.0,4.0
0,0,1,"1,200,000",2 beds,2 baths,879 sqft,"Hayat Boulevard 2A, Hayat Boulevard, Town Square, Dubai, UAE",1200000.0,879.0,2.0,2.0
0,0,1,"1,650,000",1 bed,2 baths,716 sqft,"Safa Two by De Grisogono, Aykon City, Business Bay, Dubai, UAE",1650000.0,716.0,1.0,2.0
0,0,1,"2,430,000",2 beds,2 baths,958 sqft,"Lime Gardens, Dubai Hills Estate, Dubai, UAE",2430000.0,958.0,2.0,2.0
0,0,0,"2,650,000",2 beds,3 baths,804 sqft,"Mama Shelter (Luxury Family Residences II), Business Bay, Dubai, UAE",2650000.0,804.0,2.0,3.0
